price,area,id
900000,880,30672
990000,292,30671
180000,491,30667
290000,551,30666
345000,469,30665
310000,420,30664
250000,66,30656
890000,215,30655
899000,194,30653
290000,100,30652
1650000,340,30651
740000,247,30650
470000,341,30649
200000,77,30648
3500000,441,30646
630000,143,30645
297000,65,30644
660000,144,30642
150000,45,30640
550000,330,30639
1200000,279,30637
230000,70,30636
350000,70,30635
470000,177,30634
230000,540,30633
175000,28.5,30632
150000,18.5,30631
150000,18.5,30630
780000,196,30629
330000,48,30628
890000,186,30627
300000,491,30626
240000,330,30625
150000,240,30624
260000,186,30623
1250000,1133,30622
300000,407,30620
200000,305,30619
150000,18.5,30616
150000,18.5,30615
2650000,487,30614
1850000,330,30613
750000,155,30612
950000,192,30611
950000,194,30610
944000,206,30609
1350000,235,30607
220000,350.3899999999999863575794734060764312744140625,30606
250000,78,30602
1650000,300,30600
3600000,750,30599
190000,371,30597
190000,371,30596
190000,371,30595
175000,28.050000000000000710542735760100185871124267578125,30592
970000,208,30591
561000,106,30590
2600000,2000,30589
160000,46,30588
220000,82,30587
570000,218,30586
280000,185.19999999999998863131622783839702606201171875,30585
830000,194,30584
360000,76,30582
600000,90,30581
450000,3295.239999999999781721271574497222900390625,30578
955000,198,30577
2600000,481,30576
670000,160,30574
8000000,16059.079999999999927240423858165740966796875,30573
1700000,305,30569
325000,180,30568
320000,190,30567
265000,78,30566
140000,37,30565
230000,55,30564
450000,78,30563
395000,877,30562
535000,157.240000000000009094947017729282379150390625,30561
215000,62,30560
195000,60,30558
175000,43,30557
175000,43,30556
790000,169.580000000000012505552149377763271331787109375,30555
385000,168,30554
181000,46,30552
480000,125,30550
750000,215,30549
200000,75,30547
160000,56,30546
585000,143,30545
285000,64,30544
230000,123,30543
200000,1000,30542
230000,137,30541
1800000,560,30540
1200000,283,30539
375000,66,30538
225000,55,30536
171000,44,30535
190000,62,30534
220000,51,30533
320000,75,30532
220000,45,30530
240000,103,30529
1300000,320,30528
130000,460,30527
1000000,,30526
2100000,300,30525
1000000,300,30524
530000,5125,30523
550000,5390,30522
130000,107,30520
550000,258,30519
180000,49,30517
390000,228,30516
430000,81,30514
280000,67,30513
750000,277,30512
900000,327,30510
100000,78,30509
160000,525,30507
500000,100,30506
270000,66,30505
270000,178,30504
110000,53,30502
439000,228,30501
135000,100,30500
310000,172,30499
165000,36,30497
650000,239,30496
710000,148,30495
170000,260,30494
200000,256,30493
980000,320,30492
460000,180,30491
280000,122,30490
270000,180,30489
200000,54,30488
600000,259,30487
480000,,30486
185000,283,30485
120000,32,30484
800000,383,30483
850000,245,30482
450000,66,30481
225000,359,30479
380000,134,30478
325000,67,30477
1200000,302,30472
275000,481,30470
2100000,395,30468
250000,130,30467
600000,111,30466
115000,41,30465
750000,106,30464
750000,108,30463
385000,85,30459
850000,371,30458
1600000,484000,30454
340000,360,30453
320000,96,30452
450000,773,30451
230000,420,30449
180000,110,30447
210000,36,30446
890000,290,30443
480000,170,30442
300000,115,30441
290000,157,30440
1200000,240,30439
180000,41,30438
850000,173,30437
280000,101,30436
300000,35,30435
750000,304,30434
230000,110,30433
140000,76,30432
1090000,849,30431
140000,32,30429
1100000,186,30428
140000,32,30427
220000,348,30426
280000,123,30423
600000,119,30422
850000,403,30421
340000,139,30420
3000000,618,30419
160000,82,30418
158000,53,30417
230000,89,30416
660000,153,30415
220000,50,30412
510000,134,30411
210000,254,30409
210000,250,30408
419000,75,30406
450000,250,30405
1650000,400,30404
440000,135,30403
280000,197,30402
530000,106,30401
150000,27,30400
160000,42,30396
180000,60,30395
200000,40,30394
650000,150,30393
640000,299,30392
450000,171,30381
430000,81,30380
200000,46,30379
690000,149,30378
230000,37,30377
850000,128,30376
320000,483,30375
159000,46,30374
112000,52,30372
200000,38,30371
250000,54,30370
340000,626,30369
351000,519,30366
290000,483,30365
420000,122,30364
595000,101,30363
278000,56,30362
300000,634,30361
,5200,30360
670000,108,30359
155000,46,30357
372000,175,30354
650000,190,30352
650000,237,30351
270000,160,30350
450000,105,30348
198000,59,30347
850000,156,30345
120000,263,30344
370000,158,30343
1590000,390,30342
780000,131,30340
600000,193,30336
452000,77,30335
240000,80,30334
750000,400,30332
180000,36,30330
950000,222,30329
115000,47,30328
600000,300,30327
1260000,310,30325
175000,360,30324
450000,158,30323
650000,211,30322
200000,65,30321
520000,175,30318
255000,56,30317
276000,82,30316
1250000,2520,30315
100000,160,30313
1300000,970,30312
1250000,250,30311
850000,175,30310
2150000,420,30309
300000,490,30308
500000,95,30307
1200000,325,30306
250000,56,30304
370000,83,30303
1250000,222,30300
540000,106,30299
200000,53,30298
400000,84,30297
590000,173,30296
750000,120,30295
220000,120,30293
270000,121,30292
730000,148,30291
330000,65,30289
235000,89,30288
110000,56,30286
650000,150,30285
190000,45,30284
750000,1340,30282
375000,89,30281
620000,128,30280
420000,165,30279
75000,31,30277
160000,58,30276
530000,504,30275
450000,113,30274
180000,46,30273
175000,46,30272
3500000,530,30271
110000,343,30269
110000,263,30268
320000,1600,30267
1980000,430,30265
860000,202,30264
250000,156,30262
250000,250,30261
315000,68,30260
256000,107.18999999999999772626324556767940521240234375,30259
500000,191,30258
185000,28,30257
160000,66,30256
120000,48,30255
740000,265,30254
775000,280,30253
275000,73,30252
410000,84,30251
450000,169,30250
390000,84,30249
300000,72,30247
1000000,203,30246
175000,100,30245
3500000,850,30244
170000,66,30242
190000,360,30241
205000,90,30238
790000,135,30237
450000,165,30235
170000,384,30234
490000,918,30233
220000,95,30232
680000,146,30230
720000,144,30228
500000,72,30227
3200000,2065,30224
300000,73,30223
220000,348,30221
220000,318,30220
1595000,255,30219
650000,162,30217
370000,86,30216
700000,210,30215
200000,45,30213
180000,37,30212
900000,176,30209
310000,73,30208
200000,60,30206
200000,60,30205
1050000,300,30204
215000,178,30203
150000,35,30200
150000,35,30199
760000,186,30198
170000,48,30197
380000,89,30196
880000,225,30194
450000,102,30192
540000,957,30185
300000,99,30184
750000,278,30179
620000,250,30178
3480000,707,30176
2500000,708,30175
1450000,752,30174
1250000,237,30173
280000,47,30172
860000,167,30171
720000,1800,30169
390000,192,30168
940000,710,30167
750000,237,30165
850000,190,30164
320000,211,30162
235000,60,30161
235000,70,30160
203000,60,30159
192000,60,30158
450000,138,30155
2700000,537,30152
560000,88,30151
290000,75.43999999999999772626324556767940521240234375,30149
500000,119,30148
560000,119,30147
480000,600,30146
944000,230,30144
235000,68,30143
650000,153,30141
318000,208,30140
790000,177,30136
280000,163,30135
1300000,168,30134
1550000,570,30133
490000,207,30132
300000,68,30131
640000,469,30130
110000,48,30128
1100000,160,30127
200000,50,30126
550000,240,30124
230000,120,30123
1470000,280,30122
520000,519,30121
95000,42,30120
160000,39,30117
310000,470,30116
420000,67,30113
245000,100,30112
133000,100,30108
390000,70,30107
750000,167,30105
250000,435,30104
205000,350,30103
290000,496,30102
400000,86,30101
160000,72,30100
380000,184,30099
300000,126,30096
342000,65,30095
530000,104,30094
580000,143,30093
427000,81,30092
299000,100,30090
550000,164,30089
160000,70,30088
775000,430,30087
600000,234,30086
780000,1533,30085
450000,83,30083
340000,75,30082
2000000,260,30078
620000,95,30077
250000,46,30075
120000,500,30074
550000,105,30072
399000,551,30071
400000,76,30070
12000000,20000,30069
800000,350,30068
690000,129,30067
145000,42,30066
2240000,513,30065
1200000,750,30064
1200000,750,30063
850000,400,30062
255000,140,30060
765000,175,30057
690000,170,30056
1200000,240,30055
890000,170,30054
385000,76,30053
363000,660,30052
212000,347,30051
470000,110,30050
550000,270,30049
170000,147,30048
165000,389,30047
1450000,334,30044
185000,44,30043
215000,360,30041
215000,360,30040
215000,360,30039
470000,103,30038
595000,131,30037
250000,225,30036
390000,83,30035
175000,46,30033
1700000,380,30032
900000,280,30030
330000,89,30029
180000,163,30028
656000,153,30026
280000,528,30022
1000000,377,30019
1850000,1950,30018
290000,80,30013
400000,160,30011
1100000,1200,30010
275000,109,30009
1300000,422,30008
180000,110,30007
215000,43,30006
170000,54,30004
170000,54,30003
170000,54,30002
170000,54,30001
390000,88,29999
362000,75,29996
2000000,474,29995
680000,212,29994
210000,92,29993
540000,125,29989
595000,90,29987
320000,71,29985
300000,104,29984
690000,137,29981
160000,57,29980
320000,310,29979
330000,80,29978
730000,233,29977
200000,354,29976
650000,707,29973
360000,500,29972
320000,71,29971
